,Modularity,Mixing parameter,Number of communities,Min community size,Max community size,Avg internal degree,Avg internal density,Max ODF,Avg ODF,Flake-out ODF,Avg Embeddedness,Avg Distance,Avg Hub Dominance
Dolphins,0.525,0.213,5,2,20,3.41,0.467,0.532,0.292,0.321,0.707,1.74,0.695
Reptiles,0.811,0.145,54,2,42,2.77,0.443,0.4,0.133,0.127,0.866,1.84,0.722
E. coli Trans,0.687,0.25,38,2,33,1.69,0.466,0.464,0.208,0.315,0.791,1.66,0.883
Human Protein,0.466,0.36,95,2,614,2.03,0.253,0.595,0.281,0.399,0.718,2.05,0.786
Mouse Visual Cortex,0.74,0.154,11,4,25,1.83,0.161,0.345,0.09,0.144,0.909,1.83,1
Yeast Protein,0.749,0.24,38,2,33,1.69,0.466,0.464,0.208,0.315,0.791,1.66,0.833
AstroPh,0.563,0.42,674,2,548,6.61,0.41,0.627,0.302,0.324,0.697,1.89,0.74
CS PhD,0.859,0.128,121,3,44,1.69,0.306,0.307,0.068,0.068,0.931,1.96,0.793
GrQc,0.779,0.2,327,3,87,3.73,0.394,0.461,0.155,0.151,0.844,1.86,0.765
NetSci,0.81,0.147,39,3,27,3.69,0.537,0.32,0.114,0.083,0.885,1.53,0.914
Adolescent Health,0.566,0.431,136,4,267,3.46,0.284,0.704,0.473,0.582,0.526,2.29,0.511
Jazz,0.443,0.267,5,3,64,15.5,0.54,0.612,0.28,0.268,0.719,1.5,0.835
Zachary Karate Club,0.402,0.179,3,5,17,3.46,0.404,0.294,0.163,0.027,0.836,1.66,0.844
Madrid Train Bombings,0.309,0.115,5,3,38,4.25,0.526,0.44,0.28,0.328,0.719,1.59,0.865
EuroRoads,0.786,0.202,109,4,21,1.93,0.254,0.463,0.161,0.205,0.838,2.69,0.398
US Airports,0.161,0.084,40,2,302,2.29,0.701,0.508,0.347,0.53,0.652,1.36,0.918
US Power Grids,0.83,0.166,424,3,51,2.07,0.242,0.435,0.13,0.14,0.869,2.55,0.475
US States,0.596,0.224,6,7,11,3.35,0.479,0.475,0.18,0.144,0.819,1.64,0.767
Football,0.604,0.293,10,9,15,7.57,0.751,0.435,0.293,0.056,0.706,1.26,0.821
Internet AS.,0.547,0.428,358,2,546,1.78,0.35,0.508,0.312,0.48,0.697,1.93,0.81
Les Misérables,0.551,0.267,8,2,15,4.29,0.584,0.441,0.178,0.141,0.821,1.45,0.938
Pol. Books,0.522,0.145,6,5,45,5.39,0.511,0.516,0.245,0.177,0.754,1.56,0.769
Deezer EU,0.565,0.429,1391,2,436,2.58,0.223,0.573,0.321,0.423,0.678,2.48,0.57
Ego Facebook,0.814,0.077,74,2,471,14.69,0.538,0.457,0.244,0.176,0.755,1.53,0.872
Caltech,0.389,0.41,12,2,188,13.35,0.427,0.657,0.425,0.488,0.574,1.78,0.731
Facebook Pol. Pages,0.836,0.111,178,2,421,5.33,0.402,0.466,0.18,0.199,0.819,1.84,0.756
Hamsterster,0.391,0.298,67,2,679,3.51,0.369,0.623,0.317,0.417,0.682,1.86,0.746
PGP,0.813,0.172,891,2,162,2.4,0.388,0.381,0.097,0.102,0.902,1.96,0.727
Princeton,0.417,0.365,32,2,2154,15.73,0.48,0.708,0.459,0.584,0.54,1.76,0.725
Retweets,0.695,0.287,93,3,32,1.79,0.338,0.433,0.129,0.16,0.87,1.92,0.778
BlumenauDrug,0.441,0.337,7,3,19,2.584,0.326,0.571,0.246,0.279,0.754,1.849,0.705
BudapestConnectome,0.525,0.088,4,1,508,90.752,0.295,0.412,0.07,0.009,0.68,1.22,0.921
YeastCollins,0.747,0.122,62,2,120,6.986,0.618,0.431,0.136,0.129,0.864,1.519,0.868
InteractomeVidal,0.576,0.405,215,2,118,2.078,0.297,0.559,0.252,0.344,0.748,2.196,0.648
MalariaGenes,0.625,0.128,11,2,86,10.423,0.601,0.538,0.188,0.146,0.812,1.475,0.825
KeggMetabolic,0.437,0.466,177,2,242,1.766,0.529,0.592,0.427,0.697,0.573,1.789,0.736
NewZealand,0.401,0.564,71,2,154,2.275,0.386,0.645,0.384,0.552,0.616,1.725,0.891
EUAirlines,0.109,0.073,10,2,332,3.972,0.596,0.559,0.266,0.388,0.734,1.495,0.874
InternetTopCogentco,0.751,0.206,27,4,16,1.906,0.326,0.487,0.179,0.199,0.821,2.231,0.473
LondonTransport,0.779,0.198,50,4,15,1.831,0.313,0.497,0.17,0.273,0.83,2.494,0.452
911AllWords,0.052,0.153,856,2,7779,1.715,0.603,0.699,0.548,0.834,0.452,1.631,0.82
MovieGalaxies,0.401,0.429,12,3,24,2.886,0.498,0.547,0.379,0.382,0.621,1.571,0.919
BibleNouns,0.46,0.496,91,3,131,4.001,0.358,0.663,0.343,0.416,0.657,1.884,0.757
BoardDirectors,0.817,0.167,79,5,24,5.159,0.578,0.459,0.141,0.118,0.859,1.493,0.904
DNCEmails,0.416,0.211,37,2,243,5.701,0.663,0.561,0.323,0.466,0.677,1.407,0.925
GoT,0.482,0.267,8,4,35,3.801,0.421,0.503,0.214,0.207,0.786,1.633,0.937
MarvelPartnerships,0.808,0.147,27,2,11,2.009,0.408,0.423,0.121,0.141,0.879,1.866,0.755
FacebookFriends,0.688,0.112,21,2,72,5.179,0.554,0.486,0.231,0.286,0.769,1.546,0.838
FacebookOrganizations,0.585,0.366,55,8,724,15.086,0.267,0.716,0.461,0.517,0.539,1.951,0.633
DBLPCite,0.546,0.433,382,2,513,2.539,0.195,0.583,0.257,0.358,0.743,2.257,0.696
